NODE,LABEL,VALUE
47049,1,0.00532838
47054,1,0.00570187
47051,1,0.00570187
47312,1,0.00602208
46964,1,0.00652566
47064,1,0.00677179
47061,1,0.00677538
47300,1,0.00700492
47043,1,0.00745496
47048,1,0.00718521
47045,1,0.00759578
47483,1,0.00772767
47482,1,0.0077231
47775,1,0.00779515
47472,1,0.00817794
47475,1,0.00783005
47003,1,0.00819129
47005,1,0.00817159
47002,1,0.00817711
47273,1,0.00810736
47014,1,0.00843097
47019,1,0.00800076
47016,1,0.00831056
47386,1,0.00814855
46904,1,-0.00106978
46790,1,-0.00105601
46908,1,-0.00096788
46905,1,-0.00096788
47219,1,-0.00092697
47216,1,-0.00091438
47452,1,-0.00095414
47450,1,-0.00094101
47511,1,-0.00095282
46951,1,-0.00095062
47809,1,-0.00096427
47362,1,-0.00095517
47364,1,-0.00095959
46921,1,-0.00095959
46925,1,-0.00095959
46916,1,-0.00095277
46918,1,-0.00095054
46915,1,-0.00094597
47368,1,-0.00093486
47366,1,-0.00093708
47525,1,-0.00091709
46926,1,-0.00091709
46931,1,-0.00089941
46928,1,-0.0008972
47254,1,-0.00087305
47130,1,-0.00087085
47132,1,-0.00084446
47129,1,-0.00084034
47139,1,-0.00081189
46943,1,-0.00081189
46948,1,-0.00077525
46945,1,-0.0007736
47725,1,-0.00073676
47487,1,-0.00073893
47489,1,-0.00069861
47140,1,-0.00069861
47144,1,-0.00065866
47141,1,-0.00065537
47688,1,-0.00061172
47145,1,-0.00061384
47147,1,-0.00057059
46970,1,-0.0005677
47292,1,-0.00052564
47148,1,-0.00052505
47153,1,-0.00048282
47150,1,-0.00048033
47314,1,-0.00043892
46983,1,-0.00043665
47159,1,-0.00039545
47157,1,-0.00039337
47319,1,-0.00035261
47075,1,-0.00035075
47076,1,-0.00031058
46975,1,-0.00031058
47088,1,-0.00026881
46998,1,-0.00026937
47171,1,-0.00023145
46989,1,-0.00023145
46994,1,-0.00019554
47103,3,-0.00636834
46988,3,-0.00349231
47073,3,-0.00061648
47072,3,0.00226044
47170,3,0.00524886
47160,3,0.00813059
47164,3,0.01103069
47161,3,0.01102954
47321,3,0.0138357
47056,3,0.01662176
47057,3,0.01933611
47055,3,0.02202226
47417,3,0.02205882
47049,3,0.02464789
47054,3,0.02727363
47051,3,0.02727645
47312,3,0.02980558
46964,3,0.03229803
47064,3,0.03473321
47061,3,0.03473321
47300,3,0.03727894
47043,3,0.03966986
47048,3,0.039723
47045,3,0.04201671
47483,3,0.04446953
47482,3,0.04446953
47775,3,0.04682375
47472,3,0.04912313
47475,3,0.04917355
47003,3,0.05148056
47005,3,0.05384319
47002,3,0.05384319
47273,3,0.05620527
47014,3,0.05841331
47019,3,0.05846709
47016,3,0.06078259
47386,3,0.06313518
46904,3,0.02484993
46790,3,0.02453244
46908,3,0.02398947
46905,3,0.02398706
47219,3,0.02356536
47216,3,0.02324313
47452,3,0.02324079
47450,3,0.02292327
47511,3,0.02270775
46951,3,0.02260114
47809,3,0.02259886
47362,3,0.02238792
47364,3,0.02228131
46921,3,0.02228131
46925,3,0.02227907
46916,3,0.0221747
46918,3,0.02217247
46915,3,0.02206809
47368,3,0.02206809
47366,3,0.02206809
47525,3,0.02196148
46926,3,0.02196148
46931,3,0.02196369
46928,3,0.02196148
47254,3,0.02185707
47130,3,0.02185707
47132,3,0.02185927
47129,3,0.02175045
47139,3,0.02175264
46943,3,0.02175264
46948,3,0.02164601
46945,3,0.02154155
47725,3,0.02154155
47487,3,0.02154155
47489,3,0.02143706
47140,3,0.02143491
47144,3,0.02133041
47141,3,0.02122589
47688,3,0.02111711
47145,3,0.02111923
47147,3,0.02101257
46970,3,0.0209059
47292,3,0.02090801
47148,3,0.02080133
47153,3,0.02069466
47150,3,0.02058799
47314,3,0.02058799
46983,3,0.02048337
47159,3,0.02037669
47157,3,0.02027
47319,3,0.02027
47075,3,0.02016535
47076,3,0.02005664
46975,3,0.02005865
47088,3,0.01995196
46998,3,0.01984526
47171,3,0.01984526
46989,3,0.01984526
46994,3,0.01985324
48151,1,-0.00164878
48070,1,-0.00090454
48150,1,-0.00015512
48148,1,0.000569
48173,1,0.00128295
48162,1,0.00198816
48166,1,0.00261706
48163,1,0.00261821
48169,1,0.00318401
48131,1,0.00382729
48132,1,0.00431697
48046,1,0.00491491
48051,1,0.00476639
48048,1,0.00532838
48140,1,0.00570187
48036,1,0.00570469
48038,1,0.00602208
48035,1,0.00652233
48316,1,0.00667147
48107,1,0.00667147
48109,1,0.00702412
48106,1,0.00747131
48883,1,0.00719747
