ELEMENT,Surface,Cpv
1116,P,-13.08745728
1117,P,-49.82888448
1118,P,-38.6187264
1119,P,-12.98018304
1120,P,-12.81927168
1121,P,-12.76563456
1122,P,-12.76563456
1123,P,-12.81927168
1124,P,-14.64293376
1125,P,-38.6187264
1126,P,-49.82888448
1127,P,-12.71199744
1128,P,-12.71199744
1129,P,-12.71199744
1130,P,-12.8729088
1131,P,-12.8729088
1132,P,-49.82888448
1133,P,-42.31968768
1134,P,-51.38436096
1135,P,-51.38436096
1136,P,-38.6187264
1137,P,-35.1323136
1138,P,-42.31968768
1139,P,-42.31968768
1140,P,-38.6187264
1141,P,-16.25204736
1142,P,-15.66203904
1143,P,-46.23519744
1144,P,-46.23519744
1145,P,-42.31968768
1146,P,-13.62382848
1147,P,-14.26747392
1148,P,-14.26747392
1149,P,-14.64293376
1150,P,-14.26747392
1151,P,-24.78034944
1152,P,-13.24836864
1153,P,-13.08745728
1154,P,-12.8729088
1155,P,-12.8729088
1156,P,-12.8729088
1157,P,-17.00296704
1158,P,-16.25204736
1159,P,-15.66203904
1160,P,-17.00296704
1161,P,-17.00296704
1162,P,-12.71199744
1163,P,-32.02136064
1164,P,-20.06028288
1165,P,-18.88026624
1166,P,-18.88026624
1167,P,-12.71199744
1168,P,-12.71199744
1169,P,-42.31968768
1170,P,-46.23519744
1171,P,-13.89201408
1172,P,-14.26747392
1173,P,-13.89201408
1174,P,-13.89201408
1175,P,-14.64293376
1176,P,-14.64293376
1177,P,-14.64293376
1178,P,-14.26747392
1179,P,-15.07203072
1180,P,-15.07203072
1181,P,-14.26747392
1182,P,-13.89201408
1183,P,-13.89201408
1184,P,-13.62382848
1185,P,-15.66203904
1186,P,-15.66203904
1187,P,-17.00296704
1188,P,-16.25204736
1189,P,-12.71199744
1190,P,-12.71199744
1191,P,-12.71199744
1192,P,-38.6187264
1193,P,-12.71199744
1194,P,-12.71199744
1195,P,-12.71199744
1196,P,-12.71199744
1197,P,-53.63712
1198,P,-15.07203072
1199,P,-15.07203072
1200,P,-24.78034944
1201,P,-24.78034944
1202,P,-12.98018304
1203,P,-12.81927168
1204,P,-46.23519744
1205,P,-38.6187264
1206,P,-17.00296704
1207,P,-16.25204736
1208,P,-18.88026624
1209,P,-12.98018304
1210,P,-12.8729088
1211,P,-12.71199744
1212,P,-12.71199744
1213,P,-12.71199744
1214,P,-12.98018304
1215,P,-12.8729088
1216,P,-12.76563456
1217,P,-12.81927168
1218,P,-12.8729088
1219,P,-20.06028288
1220,P,-17.86116096
1221,P,-14.64293376
1222,P,-13.89201408
1223,P,-14.64293376
1224,P,-14.26747392
1225,P,-14.64293376
1226,P,-21.40121088
1227,P,-21.40121088
1228,P,-18.88026624
1229,P,-12.98018304
1230,P,-12.98018304
1231,P,-13.24836864
1232,P,-13.40928
1233,P,-12.71199744
1234,P,-12.71199744
1235,P,-12.8729088
1236,P,-12.76563456
1237,P,-12.81927168
1238,P,-12.76563456
1239,P,-13.40928
1240,P,-12.98018304
1241,P,-14.26747392
1242,P,-21.40121088
1243,P,-20.06028288
1244,P,-35.1323136
1245,P,-12.71199744
1246,P,-12.71199744
1247,P,-38.6187264
